Excercise,Equipment Required,Aux Equipment,Difficulty,Muscle Group,Primary,Secondary
Leg Circles,None,,Beginner,ABS & CORE,"Hip Flexors, Rectus Abdominis","Obliques, Adductors, Hip Abductors, Quadriceps"
Leg Flutter Kicks,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Quadriceps, Obliques, Erector Spinae, Hamstrings"
Leg Raises,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
Leg Wipers Vo,None,,Beginner,ABS & CORE,"Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors, Adductors"
Lying Leg Raises,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
Motion Side Plank,None,,Beginner,ABS & CORE,"Obliques, Transverse Abdominis","Rectus Abdominis, Deltoids, Glutes, Erector Spinae"
Motion Side Planks,None,,Beginner,ABS & CORE,"Obliques, Transverse Abdominis","Rectus Abdominis, Deltoids, Glutes, Erector Spinae"
Mountain Climbers,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors, Transverse Abdominis","Obliques, Quadriceps, Deltoids, Glutes, Hamstrings"
Plank,None,,Beginner,ABS & CORE,"Transverse Abdominis, Rectus Abdominis, Obliques","Erector Spinae, Glutes, Quadriceps, Deltoids"
Plank Bird Dog,None,,Beginner,ABS & CORE,"Transverse Abdominis, Erector Spinae, Rectus Abdominis","Glutes, Hamstrings, Deltoids, Obliques"
Plank Hip Flexion And Extension,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors, Transverse Abdominis","Obliques, Glutes, Quadriceps, Deltoids"
Plank Knee Tucks,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors, Transverse Abdominis","Obliques, Deltoids, Quadriceps, Glutes"
Plank On Elbows,None,,Beginner,ABS & CORE,"Transverse Abdominis, Rectus Abdominis, Obliques","Erector Spinae, Glutes, Quadriceps"
Plank Shoulder Taps,None,,Beginner,ABS & CORE,"Transverse Abdominis, Rectus Abdominis, Obliques, Deltoids","Erector Spinae, Glutes, Triceps, Pectorals"
Plank Up Down Elbows,None,,Beginner,ABS & CORE,"Transverse Abdominis, Rectus Abdominis, Triceps, Deltoids","Obliques, Erector Spinae, Pectorals, Glutes"
Plank Walk Outs - Inchworms,None,,Beginner,ABS & CORE,"Transverse Abdominis, Rectus Abdominis, Deltoids","Hamstrings, Glutes, Erector Spinae, Triceps, Pectorals"
Push Up Rotation,None,,Beginner,ABS & CORE,"Pectorals, Triceps, Deltoids, Obliques","Transverse Abdominis, Serratus Anterior, Glutes"
Pushup Downward Dog,None,,Beginner,ABS & CORE,"Pectorals, Triceps, Deltoids","Hamstrings, Glutes, Calves, Transverse Abdominis, Obliques"
Reverse Crunch (90 90),None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis"
Russian Leg Twists Raised Feet,None,,Beginner,ABS & CORE,"Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors, Erector Spinae"
Russian Twists,None,,Beginner,ABS & CORE,"Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors, Erector Spinae"
Scissor Kicks,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Adductors, Quadriceps, Erector Spinae"
Seated Leg Tucks,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
Seated Side To Side Leg Raises,None,,Beginner,ABS & CORE,"Obliques, Hip Flexors","Rectus Abdominis, Adductors, Hip Abductors"
Side Crunches,None,,Beginner,ABS & CORE,Obliques,"Rectus Abdominis, Transverse Abdominis, Hip Flexors"
Side Plank Dips,None,,Beginner,ABS & CORE,"Obliques, Transverse Abdominis","Rectus Abdominis, Deltoids, Glutes, Erector Spinae"
Side Plank Left,None,,Beginner,ABS & CORE,"Obliques, Transverse Abdominis","Rectus Abdominis, Deltoids, Glutes"
Side Plank Right,None,,Beginner,ABS & CORE,"Obliques, Transverse Abdominis","Rectus Abdominis, Deltoids, Glutes"
Side Planks,None,,Beginner,ABS & CORE,"Obliques, Transverse Abdominis","Rectus Abdominis, Deltoids, Glutes, Erector Spinae"
Sit Ups,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Erector Spinae"
Spider Plank,None,,Beginner,ABS & CORE,"Obliques, Hip Flexors, Transverse Abdominis","Rectus Abdominis, Deltoids, Glutes, Quadriceps"
Standing Knee Raises,None,,Beginner,ABS & CORE,"Hip Flexors, Rectus Abdominis","Obliques, Quadriceps, Hip Abductors"
Standing Oblique Crunches,None,,Beginner,ABS & CORE,Obliques,"Rectus Abdominis, Hip Abductors, Transverse Abdominis"
Supine Arm Leg Extension,None,,Beginner,ABS & CORE,"Transverse Abdominis, Erector Spinae, Rectus Abdominis","Glutes, Hamstrings, Deltoids, Obliques"
Toe Touches,None,,Beginner,ABS & CORE,Rectus Abdominis,"Obliques, Hip Flexors, Hamstrings"
V Sit Up,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
V-Ups,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
Weighted Crunch,Dumbbells,Weight plates,Intermediate,ABS & CORE,Rectus Abdominis,"Obliques, Transverse Abdominis, Hip Flexors, Erector Spinae"
Weighted Side Crunch,Dumbbells,Weight plates,Intermediate,ABS & CORE,Obliques,"Rectus Abdominis, Transverse Abdominis, Hip Flexors"
Whipers,None,,Beginner,ABS & CORE,"Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors, Adductors"
Windshield Wipers,None,,Beginner,ABS & CORE,"Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors, Adductors"
Back Machine Extension,Back Extension Machine,,Advanced,BACK,Erector Spinae,"Glutes, Hamstrings, Multifidi"
Barbell Good Mornings,Barbells,,Advanced,BACK,"Erector Spinae, Hamstrings","Glutes, Adductors, Transverse Abdominis"
Barbell Pendlay Rows,Barbells,,Advanced,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids, Erector Spinae, Brachioradialis"
Barbell Row,Barbells,,Advanced,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids, Erector Spinae, Brachioradialis"
Bat Wings,Bench press,,Advanced,BACK,"Rhomboids, Rear Deltoids","Trapezius, Biceps, Teres Major"
Bent Over Db Rows,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids, Erector Spinae"
Cable Lat Pull Overs,Cable machine,,Intermediate,BACK,Latissimus Dorsi,"Teres Major, Pectorals, Triceps, Rhomboids"
Cable Rope Pulldown,Cable machine,,Intermediate,BACK,Latissimus Dorsi,"Biceps, Rhomboids, Trapezius, Rear Deltoids"
Close Grip Cable Row,Cable machine,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius, Erector Spinae"
Db Bent Over Rows,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids, Erector Spinae"
Db Renegade Rows,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Transverse Abdominis, Obliques, Triceps, Deltoids, Erector Spinae"
Db Rows Laying On Bench,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius"
Db Under Hand Row Bent Over,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Biceps","Rhomboids, Trapezius, Rear Deltoids, Erector Spinae"
Db Wide Row,Dumbbells,,Intermediate,BACK,"Rhomboids, Trapezius, Rear Deltoids","Latissimus Dorsi, Biceps, Erector Spinae"
Dumbbell Chest Supported Row,Dumbbells,Barbells,Intermediate,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids"
Dumbbell Good Mornings,Dumbbells,,Intermediate,BACK,"Erector Spinae, Hamstrings","Glutes, Adductors, Transverse Abdominis"
Dumbbell Kroc Row,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius, Erector Spinae"
Dumbbell Pendlay Row,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids, Erector Spinae"
Dumbbell Wrestlers Row,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius"
Dumbbell Yates Row,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Biceps","Rhomboids, Trapezius, Rear Deltoids, Erector Spinae"
Ecentric Pullup,Pull-up bar,,Advanced,BACK,Latissimus Dorsi,"Biceps, Rhomboids, Trapezius, Rear Deltoids"
Gorilla Row,Dumbbells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius, Transverse Abdominis"
Horizontal Seated Cable Rows,Cable machine,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids, Erector Spinae"
Hyperextensions,Hyperextension Machine,Dumbbells,Advanced,BACK,Erector Spinae,"Glutes, Hamstrings, Transverse Abdominis"
Inverted Row,Barbells,,Advanced,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids, Transverse Abdominis"
Kettlebell Bent Over Row,Kettlebells,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius, Erector Spinae"
Landmine Meadows Row,Barbells,,Advanced,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius, Erector Spinae"
One Arm Dumbbell Row,Dumbbells,Barbells,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius, Erector Spinae"
Pronated Pull Ups,Pull-up bar,,Advanced,BACK,Latissimus Dorsi,"Biceps, Rhomboids, Trapezius, Rear Deltoids"
Rack Pulls,Barbells,,Advanced,BACK,"Erector Spinae, Trapezius","Latissimus Dorsi, Glutes, Hamstrings, Rhomboids"
Scalpular Pull Ups,Pull-up bar,,Advanced,BACK,"Serratus Anterior, Lower Trapezius","Latissimus Dorsi, Rhomboids"
Single Arm Cable Row,Cable machine,,Intermediate,BACK,"Latissimus Dorsi, Rhomboids","Biceps, Rear Deltoids, Trapezius, Obliques"
Standard Grip Pull Ups,Pull-up bar,,Advanced,BACK,Latissimus Dorsi,"Biceps, Rhomboids, Trapezius, Rear Deltoids"
Superman Hold,Pull-up bar,,Advanced,BACK,"Erector Spinae, Glutes","Hamstrings, Rhomboids, Trapezius, Rear Deltoids"
Superman Stretch,None,,Beginner,BACK,Erector Spinae,"Glutes, Hamstrings, Rhomboids, Trapezius"
Supermans,None,,Beginner,BACK,"Erector Spinae, Glutes","Hamstrings, Rhomboids, Trapezius, Rear Deltoids"
T Bar Row,Barbells,,Advanced,BACK,"Latissimus Dorsi, Rhomboids, Trapezius","Biceps, Rear Deltoids, Erector Spinae"
V-Bar Pulldown,Cable machine,,Intermediate,BACK,Latissimus Dorsi,"Biceps, Rhomboids, Trapezius, Rear Deltoids"
V-Bar Pullup,Pull-up bar,,Advanced,BACK,Latissimus Dorsi,"Biceps, Rhomboids, Trapezius, Rear Deltoids"
Wide-Grip Lat Pulldown,Cable machine,,Intermediate,BACK,Latissimus Dorsi,"Biceps, Rhomboids, Trapezius, Rear Deltoids"
Wide-Grip Pull-Up,Cable machine,,Intermediate,BACK,Latissimus Dorsi,"Biceps, Rhomboids, Trapezius, Rear Deltoids"
Barbell 21'S,Barbells,,Advanced,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Barbell Curl,Barbells,,Advanced,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Bicep Push Up,None,,Beginner,BICEPS,"Biceps Brachii, Pectorals","Triceps, Deltoids, Brachialis"
Cable Handles Bicep Curl,Cable machine,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Cable Reverse Grip Bar Curl,Cable machine,,Intermediate,BICEPS,"Brachioradialis, Brachialis","Biceps Brachii, Forearm Extensors"
Cable Rope Curls,Cable machine,,Intermediate,BICEPS,"Biceps Brachii, Brachialis","Brachioradialis, Forearm Flexors"
Cable Squat Bicep Curls,Cable machine,,Intermediate,BICEPS,"Biceps Brachii, Quadriceps, Glutes","Brachialis, Brachioradialis, Hamstrings"
Close Grip Barbell Curls,Barbells,,Advanced,BICEPS,Biceps Brachii (Short Head),"Brachialis, Brachioradialis"
Close Grip Preacher Curls,Barbells,Preacher Curl Machine,Advanced,BICEPS,Biceps Brachii (Short Head),"Brachialis, Forearm Flexors"
Crucifix Curl - Single Arm,Cable machine,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Deltoids"
Db Alternating Curls,Dumbbells,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Db Arnold Curl,Dumbbells,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Db Cross Curl,Dumbbells,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis"
Db Curls Close Grip,Dumbbells,,Intermediate,BICEPS,Biceps Brachii (Short Head),"Brachialis, Brachioradialis"
Db Hammer Curls,Dumbbells,,Intermediate,BICEPS,"Brachialis, Brachioradialis","Biceps Brachii, Forearm Flexors"
Db Preacher Curl Single Arm,Dumbbells,Preacher Curl Machine,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Forearm Flexors"
Db Rotating Curls Single Arm,Dumbbells,Bench press,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Db Spder Curls,Dumbbells,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis"
Drag Curls -,None,,Beginner,BICEPS,Biceps Brachii (Long Head),"Brachialis, Brachioradialis"
Dumbbell Curls,None,,Beginner,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Ez Bar Curl,Barbells,,Advanced,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis"
Ez Bar Curl Inside Grip,Barbells,,Advanced,BICEPS,Biceps Brachii (Short Head),"Brachialis, Brachioradialis"
Ez Bar Curls,Barbells,,Advanced,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis"
Ez Bar Preacher Curls,Barbells,Preacher Curl Machine,Advanced,BICEPS,Biceps Brachii,"Brachialis, Forearm Flexors"
Hammer Curls,Dumbbells,,Intermediate,BICEPS,"Brachialis, Brachioradialis","Biceps Brachii, Forearm Flexors"
Kettlebell Bicep Curl,Kettlebells,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Machine Preacher Curls,None,,Beginner,BICEPS,Biceps Brachii,"Brachialis, Forearm Flexors"
Reverse Barbell Curl,Barbells,,Advanced,BICEPS,"Brachioradialis, Brachialis","Forearm Extensors, Biceps Brachii"
Reverse Db Curl,Dumbbells,,Intermediate,BICEPS,"Brachioradialis, Brachialis","Forearm Extensors, Biceps Brachii"
Seated Concentration Curls,Dumbbells,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Forearm Flexors"
Seated Db Curls,Dumbbells,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Seated Hammer Curls,Dumbbells,,Intermediate,BICEPS,"Brachialis, Brachioradialis","Biceps Brachii, Forearm Flexors"
Seated Incline Dumbbell Curls,Dumbbells,,Intermediate,BICEPS,Biceps Brachii (Long Head),"Brachialis, Brachioradialis"
Spider Bicep Cable Curls,Cable machine,Incline Bench,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Forearm Flexors"
Squat Bicep Curls,Dumbbells,,Intermediate,BICEPS,"Biceps Brachii, Quadriceps, Glutes","Brachialis, Hamstrings, Erector Spinae"
Standing Biceps Cable Curl,Cable machine,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
V-Bar Bicep Curls,Cable machine,,Intermediate,BICEPS,Biceps Brachii,"Brachialis, Brachioradialis"
Burpees,None,,Beginner,CARDIO,"Quadriceps, Glutes, Pectorals, Deltoids, Rectus Abdominis","Triceps, Hamstrings, Gastrocnemius, Soleus"
Butt Kicks,None,,Beginner,CARDIO,"Hamstrings, Gastrocnemius","Glutes, Quadriceps, Hip Flexors"
High Knees,None,,Beginner,CARDIO,"Hip Flexors, Rectus Abdominis","Quadriceps, Hamstrings, Gastrocnemius, Obliques"
Jump Rope,Jump rope,,Advanced,CARDIO,"Gastrocnemius, Soleus","Quadriceps, Hamstrings, Glutes, Deltoids, Forearm Flexors"
Jumping Lunges,None,,Beginner,CARDIO,"Quadriceps, Glutes, Hamstrings","Gastrocnemius, Hip Flexors, Erector Spinae"
Lateral Bounds,None,,Beginner,CARDIO,"Glutes, Quadriceps, Gastrocnemius","Hamstrings, Hip Abductors, Adductors"
Plank Jacks,None,,Beginner,CARDIO,"Transverse Abdominis, Hip Abductors, Deltoids","Rectus Abdominis, Obliques, Glutes, Quadriceps"
Plank To Squat,None,,Beginner,CARDIO,"Quadriceps, Glutes, Transverse Abdominis","Hamstrings, Gastrocnemius, Deltoids, Erector Spinae"
Running In Place,None,,Beginner,CARDIO,"Quadriceps, Hamstrings, Gastrocnemius","Glutes, Hip Flexors, Soleus"
Seal Jacks,None,,Beginner,CARDIO,"Deltoids, Pectorals, Gastrocnemius","Glutes, Hip Abductors, Quadriceps, Rhomboids"
Skater Jumps,None,,Beginner,CARDIO,"Glutes, Quadriceps, Hip Abductors","Hamstrings, Gastrocnemius, Adductors"
Star Jumps,None,,Beginner,CARDIO,"Quadriceps, Glutes, Deltoids","Hamstrings, Gastrocnemius, Hip Abductors"
Star Jumps- Jumping Jacks,None,,Beginner,CARDIO,"Quadriceps, Glutes, Deltoids","Hamstrings, Gastrocnemius, Hip Abductors"
Tuck Jumps,None,,Beginner,CARDIO,"Quadriceps, Glutes, Hip Flexors","Hamstrings, Gastrocnemius, Rectus Abdominis"
Archer Push Up,None,,Beginner,CHEST,"Pectorals (Unilateral), Triceps, Deltoids","Serratus Anterior, Transverse Abdominis, Biceps"
Barbell Bench Press - Medium Grip,Barbells,Incline Bench,Advanced,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Rhomboids"
Barbell Incline Bench Press - Medium Grip,Barbells,Incline Bench,Advanced,CHEST,"Upper Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Rhomboids"
Bent Over One Arm Cable Chest Press,Cable machine,,Intermediate,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Obliques"
Cable Chest Fly - Low To High-,Cable machine,,Intermediate,CHEST,Upper Pectorals,"Anterior Deltoids, Serratus Anterior, Biceps"
Cable Cross Over,Cable machine,,Intermediate,CHEST,Pectorals,"Anterior Deltoids, Serratus Anterior, Biceps"
Cable Pallof Press,Cable machine,,Intermediate,CHEST,"Transverse Abdominis, Obliques, Pectorals","Deltoids, Erector Spinae, Glutes"
Chest Dips,Dip Machine,,Advanced,CHEST,"Pectorals (Lower), Triceps, Anterior Deltoids","Rhomboids, Serratus Anterior"
Chest Tap Push-Up,None,,Beginner,CHEST,"Pectorals, Triceps, Deltoids, Transverse Abdominis","Serratus Anterior, Obliques, Glutes"
Clap Push Up,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Close-Grip Barbell Bench Press,Barbells,Bench press,Advanced,CHEST,"Triceps, Pectorals (Inner), Anterior Deltoids",Serratus Anterior
Commando Push Up,None,,Beginner,CHEST,"Pectorals, Triceps, Deltoids","Obliques, Transverse Abdominis, Serratus Anterior"
Db Fly On Step,Dumbbells,,Intermediate,CHEST,Pectorals,"Anterior Deltoids, Serratus Anterior, Biceps"
Db Press On Step,Dumbbells,Bench press,Intermediate,CHEST,"Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Db Pull Over,Dumbbells,,Intermediate,CHEST,"Pectorals, Latissimus Dorsi","Triceps, Serratus Anterior, Teres Major"
Db Standing Upper Chest Flyes,Dumbbells,,Intermediate,CHEST,Upper Pectorals,"Anterior Deltoids, Serratus Anterior"
Decline Barbell Bench Press,Barbells,Incline Bench,Advanced,CHEST,"Lower Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Decline Dumbbell Bench Press,Dumbbells,Incline Bench,Intermediate,CHEST,"Lower Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Decline Push Up,None,Plyometric box,Beginner,CHEST,"Upper Pectorals, Anterior Deltoids, Triceps","Serratus Anterior, Transverse Abdominis"
Diamond Push Ups,None,,Beginner,CHEST,"Triceps, Pectorals (Inner), Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Diamond Push Ups - Close Grip Push Up,None,,Beginner,CHEST,"Triceps, Pectorals (Inner), Anterior Deltoids",Serratus Anterior
Diamond Push Ups On Knees,None,,Beginner,CHEST,"Triceps, Pectorals (Inner), Anterior Deltoids",Serratus Anterior
Dumbbell Bench Press,Dumbbells,Bench press,Intermediate,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Rhomboids"
